bdb,strongs,LemmaGuess
BDB143,H0157,אָהֵב
BDB144,H0158,אַ֫הַב
BDB145,H0159,אֹ֫הַב
BDB146,H0160,אַהֲבָה
BDB148,H0161,אֹ֫הַד
BDB149,H0164,אֵהוּד
BDB150,H0162,אֲהָהּ
BDB151,H0163,אַהֲוָא
BDB152,H0165,אֱהִי
BDB154,H0168,אֹ֫הֶל
BDB154,H0169,אֹ֫הֶל
BDB155,H0167,אָהַל
BDB156,H0170,אָהֳלָה
BDB157,H0171,אָהֳלִיאָב
BDB158,H0172,אָהֳלִיבָה
BDB159,H0173,אָהֳלִיבָמָה
BDB160,H0166,אָהַל
BDB161,H0174,אהל
BDB162,H0175,אַהֲרֹן
BDB163,H0176,אוֺ
BDB164,H0177,אוּאֵל
BDB166,H0178,אוֺב
BDB167,H0088,אֹבֹת
BDB169,H0181,אוּד
BDB170,H0182,אוֺדָה
BDB171,H0343,אֵיד
BDB172,H0108,אֵד
BDB174,H0339,אִי
BDB175,H0385,אִיתָמָר
BDB176,H0183,אָוָה
BDB177,H0176,אַו
BDB178,H0185,אַוָּה
BDB179,H0189,אֱוִי
BDB180,H3970,מַאֲוַי
BDB181,H8378,תַּאֲוָה
BDB182,H0184,אָוָה
BDB183,H0226,אוֺת
BDB184,H0186,אוּזַי
BDB185,H0188,אוֺי
BDB186,H0190,אוֺיָה
BDB188,H0338,אִי
BDB189,H0344,אַיָּה
BDB190,H0345,אַיָּה
BDB191,H0192,אֱוִיּל מְרֹדַךְ
BDB193,H0191,אֱוִיל
BDB194,H0196,אֱוִלִי
BDB195,H0200,אִוֶּ֫לֶת
BDB197,H0193,אוּל
BDB198,H0193,אוּל
BDB199,H0197,אוּלָם
BDB200,H0198,אוּלָם
BDB201,H0352,אַ֫יִל
BDB202,H0352,אַ֫יִל
BDB203,H0352,אַ֫יִל
BDB204,H0352,אַ֫יִל
BDB205,H0364,אֵיל פָּארָן
BDB206,H0362,אֵילִים
BDB207,H0424,אֵלָה
BDB208,H0425,אֵלָה
BDB209,H0436,אֵלוֺן
BDB209,H0439,אֵלוֺן
BDB210,H0356,אֵלוֺן
BDB210,H0358,אֵלוֺן
BDB211,H0440,אֵלֹנִי
BDB212,H0359,אֵילַת
BDB213,H0359,אֵילוֺת
BDB214,H0361,אֵילָם
BDB215,H0354,אַיָּל
BDB216,H0355,אַיָּלָה
BDB216,H0365,אַיָּלָה
BDB217,H0357,אַיָּלוֺן
BDB218,H0195,אוּלַי
BDB219,H0194,אוּלַי
BDB220,H0197,אוּלָם
BDB220,H0198,אוּלָם
BDB221,H0199,אוּלָם
BDB223,H0205,אָ֫וֶן
BDB223,H0206,אָ֫וֶן
BDB223,H0204,אָ֫וֶן
BDB224,H8383,תְּאֻנִים
BDB226,H0202,אוֺן
BDB227,H0203,אוֺן
BDB228,H0207,אוֺנוֺ
BDB229,H0208,אוֺנָם
BDB230,H0209,אוֺנָן
BDB231,H0204,אוֺן
BDB233,H0210,אוּפָז
BDB234,H0211,אוֺפִיר
BDB235,H0213,אוּץ
BDB236,H0215,אוֺר
BDB237,H0216,אוֺר
BDB238,H0219,אוֺרָה
BDB239,H0219,אוֺרָה
BDB240,H0217,אוּר
BDB241,H0224,אֻרִים
BDB242,H0224,אוּרִים
BDB243,H0218,אוּר
BDB244,H0221,אוּרִי
BDB245,H0222,אוּרִיאֵל
BDB246,H0223,אוּרִיָּה
BDB247,H0223,אוּרִיָּ֫הוּ
BDB248,H2971,יָאִיר
BDB249,H2972,יָאִירִי
BDB250,H3974,מָאוֺר
BDB251,H3975,מְאוּרָה
BDB252,H0218,אור
BDB253,H0225,אוּת
BDB254,H0227,אָז
BDB256,H0233,אֲזַי
BDB257,H0229,אֶזְבָּ֑י
BDB258,H0231,אֵזוֺב
BDB259,H0235,אָזַל
BDB260,H0237,אֶזֶל
BDB261,H0187,אוּזָל
BDB263,H0241,אֹ֫זֶן
BDB264,H0238,אָזַן
BDB265,H0240,אָזֵן
BDB266,H0244,אָזְנִי
BDB267,H0244,אָזְנִי
BDB268,H0245,אֲזַנְיָ֫הוּ
BDB269,H0243,אַזְנוֺת תָּבוֺר
BDB270,H2970,יַאֲזַנְיָ֫הוּ
BDB270,H3153,יַאֲזַנְיָ֫הוּ
BDB271,H0239,אָזַן
BDB272,H3976,מאזן
BDB273,H0242,אֻזֵּן שֶׁאֱרָה
BDB274,H0247,אָזַר
BDB275,H0232,אֵזוֺר
BDB276,H0251,אָח
BDB276,H0256,אָח
BDB276,H0257,אָח
BDB277,H0254,אָח
BDB278,H0253,אָח
BDB279,H0305,אַחְלַי
BDB280,H0258,אָחַד
BDB281,H0259,אֶחָד
BDB282,H0261,אֵחוּד
BDB283,H2297,חַד
BDB285,H0251,אָח
BDB286,H0256,אַחְאָב
BDB287,H0257,אַחְבָּן
BDB288,H0267,אֲחוּמַי
BDB289,H0279,אֲחִיאָם
BDB290,H0281,אֲחִיָּ֫הוּ
BDB290,H0277,אֲחִיָּ֫הוּ
BDB291,H0282,אֲחִיהוּד
BDB292,H0283,אַחְיוֺ
BDB293,H0284,אֲחִיחֻד
BDB294,H0285,אֲחִיטוּב
BDB295,H0286,אֲחִילוּד
BDB296,H0287,אֲחִימוֺת
BDB297,H0288,אֲחִימֶ֫לֶךְ
BDB298,H0289,אֲחִימַן
BDB299,H0290,אֲחִימַ֫עַץ
BDB300,H0291,אַחְיָן
BDB301,H0292,אֲחִינָדָב
BDB302,H0293,אֲחִינֹ֫עַם
BDB303,H0294,אֲחִיסָמָךְ
BDB304,H0295,אֲחִיעֶ֫זֶר
BDB305,H0296,אֲחִיקָם
BDB306,H0297,אֲחִירָם
BDB307,H2438,חִירָם
BDB307,H2361,חִירָם
BDB308,H0298,אֲחִירָמִי
BDB309,H0299,אֲחִירַע
BDB310,H0300,אֲחִישָׁ֑חַר
BDB311,H0301,אֲחִישָׁר
BDB312,H0302,אֲחִיתֹ֫פֶל
BDB313,H0264,אַחֲוָה
BDB314,H2419,חִיאֵל
BDB315,H0269,אָחוֺת
BDB316,H0260,אָחוּ
BDB317,H0270,אָחַז
BDB318,H0271,אָחָז
BDB319,H0272,אֲחֻזָּה
BDB320,H0273,אֲחַזְיָ֫הוּ
BDB320,H0274,אֲחַזְיָ֫הוּ
BDB321,H0275,אֲחֻזָּם
BDB322,H0276,אֲחֻזַּת
BDB324,H0255,אֹחַ
BDB326,H0254,אָח
BDB327,H0265,אֲחוֺחַ
BDB328,H0266,(אֲחֹחִי) אֲחוֺחִי
BDB329,H0278,אֵחִי
BDB331,H0304,אַחְלָ֑י
BDB332,H0306,אַחְלָ֑מָה
BDB333,H0308,אֲחַסְבַּי
BDB334,H0309,אָחַר
BDB335,H0312,אַחֵר
BDB336,H0310,אַחַר
BDB337,H0310,אַחֲרַי
BDB339,H0268,אָחוֺר
BDB340,H0322,אֲחֹרַנִּית
BDB341,H0314,אַחֲרוֺן
BDB342,H0319,אַחֲרִית
BDB343,H0313,אַחֵר
BDB344,H0315,אַחֲרַח
BDB345,H0316,אֲחַרְחֵל
BDB346,H0323,אֲחַשְׁדַּרְפְּנִים
BDB347,H0325,אֲחַשְׁוֵרוֺשׁ
BDB348,H0326,אֲחַשְׁתָּרִי
BDB349,H0327,אֲחַשְׁתְּרָן
BDB351,H0329,אָטָד
BDB354,H0328,אַט
BDB355,H0331,אטם
BDB356,H0330,אֵטוּן
BDB357,H0332,אָטַר
BDB358,H0333,אָטֵר
BDB359,H0334,אִטֵּר
BDB360,H0335,אַי
BDB361,H0346,אַיֵּה
BDB362,H0349,אֵיךְ
BDB363,H0349,אֵיכָה
BDB363,H0351,אֵיכָה
BDB364,H0351,אֵיכוֺ
BDB365,H0349,אֵיכָ֫כָה
BDB366,H0370,אַ֫יִן
BDB367,H0575,אָן
BDB368,H0375,אֵיפֹה
BDB369,H0337,אִי
BDB370,H0336,אִי
BDB371,H0350,אִי כָבוֺד
BDB372,H0348,אִיזֶבֶל
BDB373,H0339,אִי
BDB374,H0369,אַ֫יִן
BDB375,H0340,אָיַב
BDB375,H0341,אָיַב
BDB376,H0342,אֵיבָה
BDB377,H0347,אִיּוֺב
BDB378,H0353,אֱיָל
BDB379,H0360,אֱיָלוּת
BDB381,H0366,אָיֹם
BDB382,H0367,אֵימָה
BDB382,H0368,אֵימָה
BDB383,H0368,אֵימִים
BDB384,H0370,אַ֫יִן
BDB385,H0369,אַ֫יִן
BDB386,H0371,אִין
BDB387,H0374,אֵיפָה
BDB389,H0376,אִישׁ
BDB389,H0381,אִישׁ
BDB389,H0382,אִישׁ
BDB390,H0378,אִישׁבּֿ֫שֶׁת
BDB390,H0792,אִישׁבּֿ֫שֶׁת
BDB391,H0379,אִישׁ הוֺד
BDB392,H0380,אִישׁוֺן
BDB393,H2978,אִיתוֺן
BDB394,H0384,אִיתַי
BDB395,H0389,אַךְ
BDB396,H0390,אַכַּד
BDB397,H0397,אָכִישׁ
BDB398,H0398,אָכַל
BDB399,H0400,אֹ֫כֶל
BDB400,H0402,אָכְלָה
BDB401,H0401,וְאֻכָֿל
BDB402,H0396,אֲכִילָה
BDB403,H3978,מַאֲכָל
BDB404,H3979,מַאֲכֶ֫לֶת
BDB405,H3980,מַאֲכֹּ֫לֶת
BDB406,H4361,מַכֹּ֫לֶת
BDB407,H0403,אָכֵן
BDB408,H0404,אָכַף
BDB409,H0405,אֶ֫כֶף
BDB411,H0406,אִכָּר
BDB413,H0417,אֶלְגָּבִישׁ
BDB414,H0418,אֲלְגּוּמִים
BDB415,H0484,אַלְמֻגִּים
BDB416,H0486,אַלְמוֺדָד
BDB417,H0510,אַלְקוּם
BDB418,H0513,אֶלְתּוֺלַד
BDB419,H0408,אַל
BDB420,H0413,אֶל
BDB421,H0454,אֶלְיְהוֺעֵינַי
BDB422,H0454,אֶלְיוֺעֵינַי
BDB422,H0462,אֶלְיוֺעֵינַי
BDB423,H0411,אֵל
BDB424,H0428,אֵ֫לֶּה
BDB425,H0410,אֵל
BDB426,H0414,אֵלָא
BDB428,H0410,אֵל
BDB428,H1286,אֵל
BDB428,H0416,אֵל
BDB428,H0415,אֵל
BDB429,H0433,אֱלֹהַּ
BDB430,H0430,אֱלֹהִים
BDB431,H0419,אֶלְדָּד
BDB431,H0449,אֶלְדָּד
BDB432,H0420,אֶלְדָּעָה
BDB433,H0443,אֶלְזָבָד
BDB434,H0445,אֶלְחָנָן
BDB435,H0446,אֱלִיאָב
BDB436,H0447,אֱלִיאֵל
BDB437,H0448,אֱלִיאָ֫תָה
BDB438,H0450,אֶלְיָדָע
BDB439,H0452,אֵלִיָּה
BDB440,H0453,אֱלִיהוּ
BDB441,H0455,אֶלְיַחְבָּא
BDB442,H0456,אֱלִיחֹ֫רֶף
BDB443,H0458,אֱלִימֶ֫לֶךְ
BDB444,H0460,אֶלְיָסָף
BDB445,H0461,אֱלִיעֶ֫זֶר
BDB446,H0463,אֱלִיעָם
BDB447,H0464,אֱלִיפַז
BDB448,H0465,אֱלִיפָל
BDB449,H0466,אֱלִיפְלֵ֫הוּ
BDB450,H0467,אֱלִיפֶ֫לֶט
BDB451,H0468,אֱלִיצוּר
BDB452,H0469,אֱלִיצָפָן
BDB453,H0470,אֱלִיקָא
BDB454,H0471,אֶלְיָקִים
BDB455,H0472,אֱלִישֶׁ֫בַע
BDB456,H0474,אֱלִישׁוּעַ
BDB457,H0475,אֶלְיָשִׁיב
BDB458,H0476,אֱלִישָׁמָע
BDB459,H0477,אֱלִישָׁע
BDB460,H0478,אֱלִישָׁפָט
BDB461,H0493,אֶלְנָ֑עַם
BDB462,H0494,אֶלְנָתָן
BDB463,H0496,אֶלְעָד
BDB464,H0497,אֶלְעָדָה
BDB465,H0498,אֶלְעוּזַי
BDB466,H0499,אֶלְעָזָר
BDB467,H0500,אֶלְעָלֵא
BDB468,H0501,אֶלְעָשָׂה
BDB469,H0508,אֶלְפַּ֫עַל
BDB470,H0511,אֶלְקָנָה
BDB471,H0422,אָלָה
BDB472,H0423,אָלָה
BDB473,H8381,תַּאֲלָה
BDB474,H0421,אָלָה
BDB475,H0451,אַלְיָה
BDB476,H0432,אִלּוּ
BDB477,H0435,אֱלוּל
BDB478,H0442,אָלוּשׁ
BDB479,H0444,אָלַח
BDB480,H0195,אֻלַיִ
BDB481,H0473,אֲלִישָׁה
BDB483,H0434,אֱלוּל
BDB484,H0457,אֱלִיל
BDB486,H0427,אַלָּה
BDB487,H0437,אַלּוֺן
BDB487,H0439,אַלּוֺן
BDB488,H0438,אַלּוֺן
BDB489,H0487,אַלַּמֶּלֶךְ
BDB490,H0480,אַלְלַי
BDB491,H0481,אָלַם
BDB492,H0485,אֲלֻמָּה
BDB493,H0482,אֵ֫לֶם
BDB494,H0483,אִלֵּם
BDB495,H0488,אַלְמָן
BDB496,H0489,אַלְמֹן
BDB497,H0490,אַלְמָנָה
BDB498,H0491,אַלְמָנוּת
BDB499,H0492,אַלְמֹנִי
BDB500,H0495,אֶלָּסָר
BDB501,H0502,אָלַף
BDB502,H0504,ֶ֫ אלֶף
BDB503,H0441,אַלּוּף
BDB504,H0503,אֶ֫לֶף
BDB504,H0505,אֶ֫לֶף
BDB505,H0507,אֶ֫לֶף
BDB506,H0441,אַלּוּף
BDB507,H0509,אָלַץ
BDB508,H0512,אֶלְקוֺשִׁי
BDB509,H0514,אֶלְתְּקֵא
BDB510,H0515,אֶלְתְּקן
BDB511,H0518,אִם
BDB513,H0519,אָמָה
BDB514,H0528,אָמוֺן
BDB515,H0526,אָמִי
BDB515,H0532,אָמִי
BDB516,H0535,אָמַל
BDB517,H0536,אֲמֵלָל
BDB518,H0537,אֻמְלַל
BDB520,H0517,אֵם
BDB521,H0522,אַמָּה
BDB521,H4965,אַמָּה
BDB522,H0520,אַמָּה
BDB523,H0520,אַמָּה
BDB524,H0522,אַמָּה
BDB525,H0523,אֻמָּה
BDB526,H0538,אֲמָם
BDB527,H0539,אָמַן
BDB527,H0547,אָמַן
BDB528,H0544,אֹ֫מֶן
BDB529,H0543,אָמֵן
BDB530,H0542,אָמָּן
BDB531,H0529,אֵמֻן
BDB532,H0530,אֱמוּנָה
BDB533,H0545,אָמְנָה
BDB534,H0546,אָמְנָה
BDB535,H0548,אֲמָנָה
BDB536,H0549,אֲמָנָה
BDB537,H0552,אֻמְנָם
BDB538,H0551,אָמְנָם
BDB539,H0571,אֱמֶת
BDB540,H0525,אָמוֺן
BDB540,H0527,אָמוֺן
BDB541,H0526,אָמוֺן
BDB541,H0532,אָמוֺן
BDB542,H0550,אַמְנוֺן
BDB543,H0550,אֲמִינוֺן
BDB544,H0573,אֲמִתַּי
BDB545,H1968,הֵימָן
BDB546,H4104,מְהוּמָן
BDB548,H0541,אָמֵץ
BDB548,H0533,אָמֵץ
BDB549,H0555,אֹ֫מֶץ
BDB550,H0556,אַמְצָה
BDB551,H0531,אָמוֺץ
BDB552,H0554,אָמֹץ
BDB553,H0533,(אַמִּץ) אַמִּיץ
BDB554,H0557,אַמְצִי
BDB555,H0558,אֲמַצְיָ֫הוּ
BDB556,H3981,מַאֲמָץ
BDB557,H0559,אָמַר
BDB558,H0562,אֹמֶר
BDB559,H0561,אִמְרָה
BDB559,H0565,אִמְרָה
BDB560,H0565,אֶמְרָה
BDB561,H0201,אוֺמָר
BDB562,H0534,אָמִיר
BDB563,H0564,אִמֵּר
BDB564,H0567,אֱמֹרִי
BDB565,H0566,אִמְרִי
BDB566,H0568,אֲמַרְי֫הוּ
BDB567,H3982,מַאֲמָר
BDB568,H0569,אַמְרָפֶל
BDB569,H0570,אֶ֫מֶשׁ
BDB570,H0575,אָן
BDB571,H0204,אֹן
BDB572,H0205,אֹן
BDB573,H0577,אָֽנָּ֫א
BDB575,H0768,אַרְנֶבֶת
BDB576,H0578,אָנָה
BDB577,H0592,אֲנִיָּה
BDB578,H8396,תַּאֲנִיָּה
BDB579,H0593,אֲנִיעָם
BDB581,H0590,אֳנִי
BDB582,H0591,אֳנִיָּה
BDB583,H0579,אָנָה
BDB584,H8385,תַּאֲנָה
BDB586,H0580,אֲנוּ
BDB587,H0584,אָנַח
BDB588,H0585,אֲנָחָה
BDB589,H0587,אֲנַחְנוּ
BDB590,H0588,אֲנָָֽחֲרָ֫ת
BDB591,H0589,אֲנִי
BDB592,H0580,אֲנוּ
BDB593,H0595,אָֽנֹכִ֫י
BDB594,H0587,אֲנַ֫חְנוּ
BDB595,H5168,נַ֫חְנוּ
BDB596,H0594,אֲנָךְ
BDB597,H0595,אָֽנֹכִי
BDB598,H0596,אָנַן
BDB599,H0597,אָנַס
BDB600,H0599,אָנֵף
BDB601,H0639,אַף
BDB602,H0649,אַפַּיִם
BDB603,H0601,אֲנָפָה
BDB604,H0602,אָנַק
BDB605,H0603,אֲנָקָה
BDB606,H0604,אֲנָקָה
BDB607,H0605,אָנַשׁ
BDB609,H0582,אֱנוֺשׁ
BDB610,H0583,אֱנוֺשׁ
BDB612,H0802,אִשָּׁה
BDB614,H0859,אַתָּ֫ה
BDB615,H0859,אתי
BDB616,H0859,אַתְּ
BDB617,H0859,אַתֶּם
BDB618,H0859,אַתֵּן
BDB620,H0609,אָסָא
BDB622,H0611,אָסוֺן
BDB624,H0618,אָסָם
BDB625,H0619,אַסְנָה
BDB626,H0621,אָֽסְנַת
BDB627,H0622,אָסַף
BDB627,H0624,אָסַף
BDB628,H0625,אֹ֫סֶף
BDB629,H0623,אָסָף
BDB630,H0614,אָסִיף
BDB632,H0626,אֲסֵפָה
BDB633,H0627,אֲסֻפָּה
BDB634,H0628,אֲסַפְסֻף
BDB635,H0630,אַסְפָּ֑תָא
BDB636,H0631,אָסַר
BDB636,H0612,אָסַר
BDB638,H0615,אָסִיר
BDB639,H0616,אַסִּיר
BDB640,H0617,אַסִּיר
BDB641,H0632,אִסָּר
BDB642,H4562,מָסֹ֫רֶת
BDB644,H4147,מוֺסֵרָה
BDB645,H4149,מֹסֵרוֺת
BDB646,H0634,אֵסַרְחַדֹּן
BDB647,H0635,אֶסְתֵּר
BDB648,H0639,אַף
BDB649,H0637,אַף
BDB652,H0646,אֵפוֺד
BDB653,H0641,אֵפֹד
BDB654,H0640,אָפַד
BDB655,H0642,אֲפֻדָּה
BDB656,H0643,אַפֶּ֫דֶן
BDB657,H0644,אָפָה
BDB658,H3989,מַאֲפֶה
BDB659,H0645,אֵפוֺ
BDB660,H0647,אֲפִיחַ
BDB662,H0652,אֹ֫פֶל
BDB663,H0651,אָפֵל
BDB664,H0653,אֲפֵלָה
BDB665,H0648,אָפִיל
BDB666,H3990,מַאֲפֵל
BDB667,H3991,מַאְפֵּלְיָה
BDB669,H0212,אוֺפַן
BDB670,H0655,אֹ֫פֶן
BDB671,H6323,אָפ֑וּנָה
BDB672,H0656,אָפֵס
BDB673,H0657,אָ֑פֶס אֶ֫פֶס
BDB674,H0657,אֹ֫פֶס
BDB675,H0658,אֶ֫פֶס דַּמִּים
BDB675,H6450,אֶ֫פֶס דַּמִּים
BDB676,H0659,אֶ֫פַע
BDB677,H0661,אָפַף
BDB678,H0662,אָפַק
BDB679,H0650,אָפִיק
BDB680,H0663,אֲפֵק
BDB681,H0664,אֲפֵקָה
BDB683,H0665,אֵ֫פֶר
BDB685,H0666,אֲפֵר
BDB686,H0668,אַפִּרְיוֺן
BDB687,H0669,אֶפְרַ֫יִם
BDB688,H0672,אֶפְרָ֫תָה
BDB688,H3613,אֶפְרָ֫תָה
BDB689,H0673,אֶפְרָתִי
BDB691,H4159,מוֺפֵת
BDB692,H0675,אֶצְבּוֺן
BDB694,H0681,אֵ֫צֶל
BDB695,H0680,אָצַל
BDB696,H0682,אֵ֫צֶל
BDB697,H0682,אָצֵל
BDB698,H0682,אָצֵל
BDB699,H0678,אָצִיל
BDB700,H0679,אַצִּיל
BDB701,H0683,אֲצַלְיָ֫הוּ
BDB703,H0684,אֹ֫צֶם
BDB704,H0686,אָצַר
BDB705,H0687,אֵ֫צֶר
BDB706,H0214,אוֺצָר
BDB707,H0689,אַקּוֺ
BDB708,H0690,אֲרָא
BDB709,H0693,אָרַב
BDB710,H0695,אֶ֫רֶב
BDB711,H0694,אֲרָב
BDB712,H0701,אַרְבִּי
BDB713,H0696,אֹ֫רֶב
BDB714,H0698,אָרְבָּה
BDB715,H0699,אֲרֻבָּה
BDB716,H0700,אֲרֻבּוֺת
BDB717,H3993,מַאֲרָב
BDB718,H0707,אָרַג
BDB719,H0708,אֶ֫רֶג
BDB720,H0710,אַרְגְּוָן
BDB721,H0713,אַרְגָּמָן
BDB722,H0714,אַרְדְּ
BDB723,H0716,אַרְדִּי
BDB724,H0720,אֲרוֺד
BDB725,H0722,אֲרוֺדִי
BDB726,H0715,אַרְדּוֺן
BDB727,H0719,אַרְוָד
BDB728,H0721,אַרְוָדִי
BDB729,H0742,אֲרִידַי
BDB730,H0743,אֲרִידָ֑תָא
BDB731,H0717,אָרָה
BDB732,H0738,אֲרִי
BDB733,H0220,אֻרְיָה
BDB733,H0723,אֻרְיָה
BDB734,H0744,אַרְיֵה
BDB735,H0745,אַרְיֵה
BDB736,H0739,אֲרִיאֵל
BDB736,H0740,אֲרִיאֵל
BDB736,H0741,אֲרִיאֵל
BDB737,H0692,אַרְאֵלִי
BDB738,H0691,אֶרְאֵל
BDB740,H0741,אֲרִאֵיל
BDB740,H2025,אֲרִאֵיל
BDB741,H0725,אֲרוּמָה
BDB742,H0728,אֲרַוְנָה
BDB743,H0729,ארז
BDB744,H0730,אֶ֫רֶז
BDB745,H0731,אַרְזָה
BDB746,H0729,אָרוּז
BDB747,H4789,מֵרוֺז
BDB748,H0732,אָרַח
BDB749,H0734,אֹ֫רַח
BDB750,H0733,אָרַח
BDB751,H0737,אֲרֻחָה
BDB752,H0736,אֹרְחָה
BDB753,H0746,אַרְיוֺךְ
BDB755,H0748,אָרַךְ
BDB756,H0753,אֹ֫רֶךְ
BDB757,H0750,אָרֵךְ
BDB758,H0752,אָרֹךְ
BDB759,H0724,אֲרוּכָה
BDB760,H0751,אֶ֫רֶךְ
BDB761,H0757,אַרְכִּי
BDB762,H0758,אֲרָם
BDB762,H0760,אֲרָם
BDB762,H0763,אֲרָם
